Age Group,2013,2023,Percent of Total 2013,Percent of Total 2023,Percentage Change
"=""0 - 9""",58296.0,52344.0,15.7,13.26,-10.21
"=""10 - 19""",55046.0,59906.0,14.83,15.17,8.83
"=""20 - 34""",30923.0,31790.0,8.33,8.05,2.8
"=""35 - 44""",56751.0,60947.0,15.29,15.44,7.39
"=""45 - 54""",51901.0,53502.0,13.98,13.55,3.08
"=""55 - 64""",51719.0,56825.0,13.93,14.39,9.87
"=""65 - 74""",20157.0,28008.0,5.43,7.09,38.95
"=""75 - 84""",12334.0,20091.0,3.32,5.09,62.89
85+,3575.0,4537.0,0.96,1.15,26.91
