Age Group,2012,2022,Percent of Total 2013,Percent of Total 2023,Percentage Change
"=""0 - 9""",58245.0,53215.0,14.8,14.8,-8.64
"=""10 - 19""",55124.0,60254.0,14.01,14.01,9.31
"=""20 - 34""",86210.0,94211.0,21.91,21.91,9.28
"=""35 - 44""",53491.0,51907.0,13.59,13.59,-2.96
"=""45 - 54""",50691.0,47880.0,12.88,12.88,-5.55
"=""55 - 64""",34298.0,42232.0,8.72,8.72,23.13
"=""65 - 74""",16942.0,27994.0,4.31,4.31,65.23
"=""75 - 84""",8831.0,11731.0,2.24,2.24,32.84
85+,3322.0,4045.0,0.84,0.84,21.76
