Age Group,2012,2022,Percent of Total 2013,Percent of Total 2023,Percentage Change
"=""0 - 9""",56973.0,52798.0,14.44,14.44,-7.33
"=""10 - 19""",54135.0,59455.0,13.72,13.72,9.83
"=""20 - 34""",93157.0,98610.0,23.61,23.61,5.85
"=""35 - 44""",53811.0,51890.0,13.64,13.64,-3.57
"=""45 - 54""",48757.0,47809.0,12.36,12.36,-1.94
"=""55 - 64""",38529.0,39524.0,9.76,9.76,2.58
"=""65 - 74""",17529.0,28343.0,4.44,4.44,61.69
"=""75 - 84""",9002.0,12525.0,2.28,2.28,39.14
85+,3705.0,3619.0,0.94,0.94,-2.32
