Description,2013,2023,Absolute Change (2013-2023),Percent Change (2013-2023)
Total Population,371267,394769,23502,6
US Native,298153,310594,12441,4
Foreign Born,73114,84175,11061,15
% US Native,80,79,-2,-2
% Foreign Born,20,21,2,8
